中央频道,#genre#
CCTV-02,http://171.213.37.127:4022/udp/239.93.1.23:6000
CCTV-03,http://1.82.144.16:4022/rtp/239.112.205.221:5140
CCTV-03,http://1.82.144.16:4022/rtp/239.112.205.221:5140
CCTV-03,http://1.82.144.16:4022/rtp/239.112.205.221:5140
CCTV-03,http://1.83.163.43:8888/rtp/239.112.205.221:5140
CCTV-03,http://1.83.163.43:8888/rtp/239.112.205.221:5140
CCTV-03,http://111.196.131.234:8012/rtp/239.3.1.172:8001
CCTV-03,http://111.196.131.234:8012/rtp/239.3.1.172:8001
CCTV-03,http://113.24.136.208:8082/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.208:8082/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.208:8085/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.208:8085/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.208:8086/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.208:8086/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.227:8082/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.227:8082/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.227:8085/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.227:8085/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.240:8082/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.240:8082/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.240:8085/udp/239.1.1.9:8009
CCTV-03,http://113.24.136.240:8085/udp/239.1.1.9:8009
CCTV-03,http://113.251.178.188:6666/rtp/235.254.198.141:1842
CCTV-03,http://113.251.178.188:6666/rtp/235.254.198.141:1842
CCTV-03,http://113.251.178.188:6666/rtp/235.254.198.53:1488
CCTV-03,http://113.251.178.188:6666/rtp/235.254.198.53:1488
CCTV-03,http://114.243.108.225:4000/rtp/239.3.1.172:8001
CCTV-03,http://114.243.108.225:4000/rtp/239.3.1.172:8001
CCTV-03,http://114.252.199.35:10000/rtp/239.3.1.172:8001
CCTV-03,http://114.252.199.35:10000/rtp/239.3.1.172:8001
CCTV-03,http://115.60.241.249:2000/rtp/225.1.4.158:1194
CCTV-03,http://115.60.241.249:2000/rtp/225.1.4.158:1194
CCTV-03,http://118.122.103.235:4022/udp/239.93.1.11:2223
CCTV-03,http://118.122.103.235:4022/udp/239.93.1.11:2223
CCTV-03,http://118.254.158.48:8888/udp/239.76.246.153:1234
CCTV-03,http://118.254.158.48:8888/udp/239.76.246.153:1234
CCTV-03,http://118.254.158.48:8888/udp/239.76.253.153:9000
CCTV-03,http://118.254.158.48:8888/udp/239.76.253.153:9000
CCTV-03,http://123.112.246.1:5555/rtp/239.3.1.172:8001
CCTV-03,http://123.112.246.1:5555/rtp/239.3.1.172:8001
CCTV-03,http://123.113.11.89:4022/rtp/239.3.1.172:8001
CCTV-03,http://123.113.11.89:4022/rtp/239.3.1.172:8001
CCTV-03,http://123.117.235.102:4022/rtp/239.3.1.172:8001
CCTV-03,http://123.117.235.102:4022/rtp/239.3.1.172:8001
CCTV-03,http://124.115.207.92:8081/rtp/239.112.205.221:5140
CCTV-03,http://124.115.207.92:8081/rtp/239.112.205.221:5140
CCTV-03,http://125.82.168.238:8888/rtp/235.254.198.141:1842
CCTV-03,http://125.82.168.238:8888/rtp/235.254.198.141:1842
CCTV-03,http://125.82.168.238:8888/rtp/235.254.198.53:1488
CCTV-03,http://125.82.168.238:8888/rtp/235.254.198.53:1488
CCTV-03,http://125.82.171.210:8888/rtp/235.254.198.141:1842
CCTV-03,http://125.82.171.210:8888/rtp/235.254.198.141:1842
CCTV-03,http://125.82.171.210:8888/rtp/235.254.198.53:1488
CCTV-03,http://125.82.171.210:8888/rtp/235.254.198.53:1488
CCTV-03,http://14.126.29.88:5000/udp/239.77.0.169:5146
CCTV-03,http://14.126.29.88:5000/udp/239.77.0.169:5146
CCTV-03,http://14.126.29.88:5000/udp/239.77.0.175:5146
CCTV-03,http://14.126.29.88:5000/udp/239.77.0.175:5146
CCTV-03,http://171.212.212.47:8000/udp/239.93.1.11:2223
